Nombre cliente,aviso_padre, IDaviso,Provincia,Ciudad,Zona/colonia,Zona aviso,Tipo de operación,Tipo de propiedad,Tipo de aviso,Destaque,Moneda,Precio,Mt2 totales,Ambientes,Habitaciones,Impresiones,Visitas,Leads,Calidad
CRESTALE PROPIEDADES S.A.,NO,54416988,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$248.700,79,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54417109,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$252.300,79,3,2,0,1,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54417247,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$261.500,81,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54417248,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$252.300,81,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54417249,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$249.900,81,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54417250,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$256.900,81,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54417251,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$259.200,81,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54417252,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$254.600,81,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54417526,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$262.200,81,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54417527,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$264.500,81,3,2,0,0,,Sin Datos
